#    band25          band26          band27          band28         band29         band30         band31         band32
-0.570695       -0.570695       -0.374641       -0.374641       0.450148       0.450148       2.316421       2.316421
-0.597334       -0.597334       -0.402129       -0.402129       0.500264       0.500264       2.317491       2.317491
-0.685984       -0.685984       -0.451273       -0.451273       0.626060       0.626060       2.320671       2.320671
-0.827634       -0.827634       -0.493176       -0.493176       0.789723       0.789723       2.325869       2.325869
-0.994250       -0.994250       -0.532797       -0.532797       0.968256       0.968256       2.332920       2.332920
-1.168027       -1.168027       -0.575537       -0.575537       1.149211       1.149211       2.341581       2.341581
-1.339560       -1.339560       -0.622989       -0.622989       1.324493       1.324493       2.351511       2.351511
-1.502801       -1.502801       -0.675204       -0.675204       1.487496       1.487496       2.362261       2.362261
-1.653019       -1.653019       -0.731671       -0.731671       1.632092       1.632092       2.373287       2.373287
-1.786210       -1.786210       -0.791681       -0.791681       1.752689       1.752689       2.384012       2.384012
-1.899172       -1.899172       -0.854470       -0.854470       1.844987       1.844987       2.393946       2.393946
-1.989866       -1.989866       -0.919286       -0.919286       1.906959       1.906959       2.402777       2.402777
-2.057727       -2.057727       -0.985419       -0.985419       1.939404       1.939404       2.410262       2.410262
-2.103648       -2.103648       -1.052218       -1.052218       1.945625       1.945625       2.415900       2.415900
-2.129605       -2.129605       -1.119092       -1.119092       1.930378       1.930378       2.418731       2.418731
-2.138111       -2.138111       -1.185510       -1.185510       1.898653       1.898653       2.417457       2.417457
-2.131748       -2.131748       -1.251000       -1.251000       1.854840       1.854840       2.410705       2.410705
-2.112886       -2.112886       -1.315140       -1.315140       1.802427       1.802427       2.397255       2.397255
-2.083567       -2.083567       -1.377552       -1.377552       1.744022       1.744022       2.376177       2.376177
-2.045510       -2.045510       -1.437896       -1.437896       1.681515       1.681515       2.346946       2.346946
-2.000161       -2.000161       -1.495851       -1.495851       1.616233       1.616233       2.309521       2.309521
-1.948780       -1.948780       -1.551095       -1.551095       1.549086       1.549086       2.264387       2.264387
-1.892581       -1.892581       -1.603221       -1.603221       1.480669       1.480669       2.212532       2.212532
-1.833125       -1.833125       -1.651399       -1.651399       1.411360       1.411360       2.155368       2.155368
-1.775267       -1.775267       -1.691471       -1.691471       1.341395       1.341395       2.094609       2.094609
-1.759616       -1.759616       -1.683545       -1.683545       1.270958       1.270958       2.032129       2.032129
-1.791671       -1.791671       -1.622884       -1.622884       1.200268       1.200268       1.969818       1.969818
-1.826341       -1.826341       -1.555441       -1.555441       1.129678       1.129678       1.909459       1.909459
-1.858512       -1.858512       -1.487320       -1.487320       1.059778       1.059778       1.852619       1.852619
-1.887366       -1.887366       -1.420504       -1.420504       0.991475       0.991475       1.800588       1.800588
-1.912626       -1.912626       -1.356647       -1.356647       0.926050       0.926050       1.754349       1.754349
-1.934150       -1.934150       -1.297494       -1.297494       0.865165       0.865165       1.714589       1.714589
-1.951853       -1.951853       -1.244956       -1.244956       0.810818       0.810818       1.681748       1.681748
-1.965674       -1.965674       -1.201073       -1.201073       0.765225       0.765225       1.656076       1.656076
-1.975574       -1.975574       -1.167867       -1.167867       0.730611       0.730611       1.637698       1.637698
-1.981524       -1.981524       -1.147115       -1.147115       0.708932       0.708932       1.626661       1.626661
-2.042415       -2.042415       -1.111918       -1.111918       0.699202       0.699202       1.682497       1.682497
-2.194296       -2.194296       -1.045438       -1.045438       0.692000       0.692000       1.854215       1.854215
-2.397066       -2.397066       -0.965396       -0.965396       0.679240       0.679240       2.121294       2.121294
-2.620127       -2.620127       -0.881722       -0.881722       0.659556       0.659556       2.463973       2.463973
-2.843763       -2.843763       -0.795270       -0.795270       0.630994       0.630994       2.864568       2.864568
-3.054598       -3.054598       -0.704258       -0.704258       0.591209       0.591209       3.309017       3.309017
-3.243109       -3.243109       -0.606769       -0.606769       0.537719       0.537719       3.786328       3.786328
-3.402493       -3.402493       -0.501372       -0.501372       0.468246       0.468246       4.287003       4.287003
-3.528216       -3.528216       -0.387163       -0.387163       0.381117       0.381117       4.566786       4.566786
-3.617823       -3.617823       -0.263672       -0.263672       0.275644       0.275644       4.481439       4.481439
-3.670740       -3.670740       -0.130852       -0.130852       0.152422       0.152422       4.430072       4.430072
-3.687956       -3.687956        0.000000        0.000000       0.024297       0.024297       4.413298       4.413298
-3.671587       -3.671587       -0.141805       -0.141805       0.164213       0.164213       4.429069       4.429069
-3.624417       -3.624417       -0.305617       -0.305617       0.324134       0.324134       4.473343       4.473343
-3.549511       -3.549511       -0.476845       -0.476845       0.492078       0.492078       4.538928       4.538928
-3.449942       -3.449942       -0.652090       -0.652090       0.666942       0.666942       4.608783       4.608783
-3.328647       -3.328647       -0.828280       -0.828280       0.847440       0.847440       4.626280       4.626280
-3.188377       -3.188377       -1.002648       -1.002648       1.031948       1.031948       4.508331       4.508331
-3.031708       -3.031708       -1.172711       -1.172711       1.218419       1.218419       4.314268       4.314268
-2.861094       -2.861094       -1.336199       -1.336199       1.404273       1.404273       4.104693       4.104693
-2.678941       -2.678941       -1.490950       -1.490950       1.586297       1.586297       3.895518       3.895518
-2.487721       -2.487721       -1.634739       -1.634739       1.760556       1.760556       3.690841       3.690841
-2.290217       -2.290217       -1.764925       -1.764925       1.922366       1.922366       3.491476       3.491476
-2.091231       -2.091231       -1.876558       -1.876558       2.066451       2.066451       3.296836       3.296836
-1.990176       -1.990176       -1.869460       -1.869460       2.187370       2.187370       3.105400       3.105400
-2.053482       -2.053482       -1.675303       -1.675303       2.280360       2.280360       2.914817       2.914817
-2.092311       -2.092311       -1.479137       -1.479137       2.342256       2.342256       2.722240       2.722240
-2.090649       -2.090649       -1.290585       -1.290585       2.368484       2.368484       2.528506       2.528506
-2.035713       -2.035713       -1.113812       -1.113812       2.276648       2.276648       2.414850       2.414850
-1.916394       -1.916394       -0.952508       -0.952508       2.050798       2.050798       2.397928       2.397928
-1.729605       -1.729605       -0.809966       -0.809966       1.789998       1.789998       2.380856       2.380856
-1.484288       -1.484288       -0.688809       -0.688809       1.500974       1.500974       2.361627       2.361627
-1.199158       -1.199158       -0.590384       -0.590384       1.189943       1.189943       2.343471       2.343471
-0.902509       -0.902509       -0.512577       -0.512577       0.872351       0.872351       2.328926       2.328926
-0.655901       -0.655901       -0.438624       -0.438624       0.587325       0.587325       2.319616       2.319616
-0.570695       -0.570695       -0.374641       -0.374641       0.450148       0.450148       2.316421       2.316421
