#    band25          band26          band27          band28         band29         band30         band31         band32
-0.807748       -0.807780       -0.603994       -0.604016       0.789461       0.789495       2.735168       2.735187
-0.825139       -0.825198       -0.623303       -0.623302       0.824318       0.824287       2.735804       2.735782
-0.885972       -0.886006       -0.671254       -0.671173       0.925682       0.925725       2.737829       2.737829
-1.001113       -1.001085       -0.719225       -0.719213       1.073775       1.073736       2.741281       2.741295
-1.152433       -1.152548       -0.763017       -0.763024       1.245776       1.245759       2.745655       2.745655
-1.319013       -1.319089       -0.808258       -0.808220       1.426611       1.426633       2.750822       2.750829
-1.487722       -1.487714       -0.857586       -0.857580       1.605575       1.605567       2.756199       2.756214
-1.650737       -1.650731       -0.911027       -0.911003       1.775997       1.776010       2.761489       2.761503
-1.802335       -1.802271       -0.968999       -0.969015       1.930971       1.930959       2.765952       2.765952
-1.937162       -1.937331       -1.030205       -1.030254       2.064584       2.064581       2.769346       2.769350
-2.051692       -2.051615       -1.094693       -1.094691       2.171291       2.171297       2.771072       2.771079
-2.142786       -2.142734       -1.161352       -1.161360       2.248058       2.248102       2.771311       2.771320
-2.210201       -2.210552       -1.229311       -1.229313       2.294051       2.294064       2.770423       2.770410
-2.254953       -2.255016       -1.298003       -1.297959       2.311072       2.311038       2.768462       2.768443
-2.278942       -2.278854       -1.366918       -1.366900       2.303543       2.303514       2.763858       2.763874
-2.285269       -2.285452       -1.435647       -1.435646       2.276359       2.276356       2.755912       2.755920
-2.276376       -2.276401       -1.503406       -1.503464       2.234572       2.234604       2.743675       2.743698
-2.254811       -2.254836       -1.569919       -1.569977       2.181999       2.181964       2.725831       2.725817
-2.222874       -2.222703       -1.634875       -1.634833       2.121507       2.121503       2.701930       2.701918
-2.182517       -2.182605       -1.697660       -1.697580       2.055347       2.055367       2.671891       2.671918
-2.134544       -2.134517       -1.757715       -1.757836       1.984757       1.984763       2.636008       2.635977
-2.081058       -2.081023       -1.814965       -1.814939       1.910935       1.910921       2.594907       2.594925
-2.023276       -2.023260       -1.868721       -1.868716       1.834216       1.834179       2.549771       2.549787
-1.963865       -1.963865       -1.916501       -1.916521       1.755304       1.755309       2.502004       2.502031
-1.920873       -1.920931       -1.941655       -1.941636       1.674349       1.674346       2.452921       2.452919
-2.008218       -2.008180       -1.830166       -1.830236       1.592015       1.592065       2.403829       2.403838
-2.063361       -2.063271       -1.746457       -1.746721       1.508699       1.508659       2.355947       2.355944
-2.102284       -2.102247       -1.674518       -1.674481       1.425232       1.425277       2.310477       2.310492
-2.136816       -2.136811       -1.603766       -1.603909       1.342852       1.342806       2.268342       2.268314
-2.167526       -2.167576       -1.535037       -1.535057       1.262767       1.262692       2.230166       2.230139
-2.194083       -2.194096       -1.469382       -1.469511       1.186518       1.186579       2.196162       2.196149
-2.216654       -2.216595       -1.408711       -1.408613       1.116606       1.116583       2.167041       2.167050
-2.235431       -2.235458       -1.355002       -1.354986       1.054673       1.054639       2.142961       2.142941
-2.249734       -2.249853       -1.310065       -1.310051       1.003454       1.003338       2.124049       2.124019
-2.260236       -2.260215       -1.276460       -1.276468       0.964816       0.964767       2.110422       2.110445
-2.266339       -2.266315       -1.255220       -1.255184       0.940631       0.940568       2.102105       2.102123
-2.318666       -2.318717       -1.224966       -1.224916       0.929178       0.929159       2.156184       2.156197
-2.453577       -2.453641       -1.165289       -1.165282       0.919209       0.919217       2.321207       2.321214
-2.642037       -2.642077       -1.086685       -1.086668       0.901827       0.901835       2.579665       2.579668
-2.854402       -2.854481       -0.999883       -0.999854       0.875569       0.875558       2.913875       2.913879
-3.070811       -3.070875       -0.907620       -0.907609       0.838597       0.838579       3.306441       3.306455
-3.277975       -3.277979       -0.808837       -0.808802       0.788758       0.788727       3.742525       3.742536
-3.465114       -3.465148       -0.701762       -0.701759       0.723190       0.723153       4.210584       4.210592
-3.622607       -3.622412       -0.585327       -0.585279       0.640005       0.639985       4.700246       4.700251
-3.746732       -3.746740       -0.457693       -0.457675       0.536940       0.536902       5.073212       5.073218
-3.836374       -3.836271       -0.317003       -0.316987       0.412779       0.412744       4.993179       4.993162
-3.888658       -3.888678       -0.161196       -0.161183       0.265719       0.265686       4.944863       4.944855
